respondent_id,lemma
1,pues
1,el
1,marca
1,vva
1,yo
1,hacer
1,sentir
1,de
1,confianza
1,seguridad
1,profesionalidad
1,generosidad
1,bueno
1,él
1,diferenciar
1,porque
1,tener
1,uno
1,marca
1,de
1,año
1,de
1,confianza
1,tener
1,mucho
1,oficina
1,por
1,todo
1,el
1,parte
1,de
1,españa
1,y
1,ese
1,venir
1,mucho
1,bien
1,y
1,yo
1,enterar
1,de
1,que
1,invertir
1,mucho
1,en
1,el
1,divulgación
1,de
1,información
1,y
1,educación
1,y
1,bueno
1,en
1,fin
1,el
1,marca
1,yo
1,parecer
1,mucho
1,buen
1,mucho
1,guay
1,yo
1,parecer
1,que
1,ser
1,uno
1,marca
1,de
1,confianza
1,y
1,seguridad
1,y
1,a
1,yo
1,yo
1,gustar
2,qué
2,tú
2,hacer
2,sentir
2,caixabank
2,pues
2,no
2,él
2,saber
2,el
2,verdad
2,porque
2,no
2,tener
2,cuenta
2,y
2,mi
2,amigo
2,tampoco
2,tener
2,cuenta
2,en
2,caixabank
2,pues
2,no
2,él
2,saber
2,el
2,verdad
2,en
2,qué
2,aspecto
2,creer
2,que
2,caixabank
2,él
2,diferenciar
2,de
2,otro
2,compañía
2,bancario
2,pues
2,como
2,no
2,él
2,conocer
2,mucho
2,bien
2,pues
2,tampoco
2,saber
2,finalmente
2,qué
2,opina
2,de
2,el
2,imagen
2,de
2,marca
2,de
2,caixabank
2,pues
2,a
2,ver
2,creer
2,que
2,ser
2,uno
2,empresa
2,bastante
2,grande
2,no
2,aunque
2,bueno
2,sentir
2,santander
2,como
2,el
2,primero
2,banco
2,de
2,españa
2,pero
2,bueno
2,aún
2,así
2,también
2,ser
2,uno
2,banco
2,potente
2,y
2,respecto
2,a
2,imagen
2,pues
2,no
2,saber
2,el
2,verdad
2,simplemente
2,él
2,que
2,conocer
2,de
2,simplemente
2,ser
2,uno
2,empresa
2,grande
2,tampoco
2,tener
2,mucho
2,historia
2,sí
2,que
2,tener
2,responsabilidad
2,y
2,tal
2,que
2,él
2,escuchar
2,de
2,el
2,cliente
2,y
2,tal
2,bueno
2,el
2,voz
2,de
2,el
2,cliente
2,y
2,sin
2,más
3,caixabank
3,yo
3,transmitir
3,seguridad
3,confianza
3,y
3,cercanía
3,sobre
3,todo
3,porque
3,estar
3,en
3,todo
3,españa
3,ser
3,uno
3,de
3,el
3,banca
3,más
3,reconocido
3,a
3,nivel
3,nacional
3,y
3,bueno
